,company,language,Repositories_count
812,Techbooth,PHP,2
813,Tam Tam,Python,2
814,THEMWEBS,HTML,2
815,TBODA Pty Ltd,Puppet,2
816,Sugoi Software,JavaScript,2
817,Subito.it,Ruby,2
818,Strobe Development,JavaScript,2
819,SmartSoftAsia,R,2
820,Stripe,Rust,2
821,Stripe,JavaScript,2
822,Stripe,CSS,2
823,Stripe,C++,2
824,Stripe,Brainfuck,2
825,Stripe,Awk,2
826,"StoneDonut, LLC.",VimL,2
827,Square,VimL,2
828,Square,Emacs Lisp,2
829,Solairis Industries,Perl,2
830,Solairis Industries,PHP,2
831,Socure,Shell,2
832,Socure,Java,2
833,"On2 Technologies, Inc.",PHP,2
834,Mac Flow,Ruby,2
